"ID de registro","Nombre de Línea de OT","Punto de venta.id","Punto de venta"
zcrm_707987000001926310,"GRUPO LIS -LIS IV, OT, 30212, FAÑABE, Cntro Cial San Miguel, local 4, 747433bdc1",zcrm_707987000000584879,"GRUPO LIS -LIS IV"
zcrm_707987000001926311,"Perfumes.es Sun Beach, OT, 30212, FAÑABE, C/ Londres 6, C. C. Sol Sun Beach, 38660 Playa Fañabe, Adeje, e6f7ef145f",zcrm_707987000000584916,"Perfumes.es Sun Beach"
zcrm_707987000001926312,"Sabina Rubicón, OT, 30212, PLAYA BLANCA, Marina Rubicón, C. el Berrugo, 2, 48b, 35570, Las Palmas, 58b351fab3",zcrm_707987000000596307,"Sabina Rubicón"
zcrm_707987000001926313,"GRUPO LIS - LIS XI, OT, 30212, LOS CRISTIANOS, Av. Los Playeros, 28. 38650. Los Cristianos, 97a30f3718",zcrm_707987000000596333,"GRUPO LIS - LIS XI"
zcrm_707987000001926314,"Perfumes.es Oasis, OT, 30212, SANTIAGO, C.C. Oasis Av. las Américas, 9, 38660 Arona, f461f51fb8",zcrm_707987000000596400,"Perfumes.es Oasis"
zcrm_707987000001926315,"Sam Playa Blanca, OT, 30212, PLAYA BLANCA, C. Limones, 15, 35580 Playa Blanca, Las Palmas, d0c75742b8",zcrm_707987000000596401,"Sam Playa Blanca"
zcrm_707987000001926316,"Palace Parfums Cristóbal, OT, 30212, SANTIAGO, Bungalow Parque Cristobal ,Avda Rafael Puig Llivin, fc9461965e",zcrm_707987000000596450,"Palace Parfums Cristóbal"
zcrm_707987000001926317,"Esennia Ventura, OT, 30212, JANDIA, Av. del Saladar, 1C, 35625 Pájara, Las Palmas. CC Ventura, local B72. Playa del jable, 3a077ed8ef",zcrm_707987000000596512,"Esennia Ventura"
zcrm_707987000001926318,"Palace Parfums Santiago III, OT, 30212, ADEJE, C.C. Parque Santiago III. Avda. Las Américas, 38650. Arona, Santa Cruz de Tenerife. Local 41., ece47c5701",zcrm_707987000000596814,"Palace Parfums Santiago III"
zcrm_707987000001926319,"Dalia 19, OT, 30212, JANDIA, Centro Comercial Faro Atlántica, local 10-12. Avenida el Saladar, s/n, 35625, Las Palmas, 5906da6ff2",zcrm_707987000000596874,"Dalia 19"
zcrm_707987000001926320,"Sabina Imeldo, OT, 30212, SANTA CRUZ, C/Imeldo Seris, nº 56, 327ad9716f",zcrm_707987000000597392,"Sabina Imeldo"
zcrm_707987000001926321,"Esennia Costa Teguise, OT, 30212, COSTA TEGUISE, C/ Las Olas, 7, 16a12e9d94",zcrm_707987000000597888,"Esennia Costa Teguise"
zcrm_707987000001926322,"Sabina Escorial, OT, 30212, MASPALOMAS, Avda. de Italia, nº. 6, 937a4d22cd",zcrm_707987000000598936,"Sabina Escorial"
zcrm_707987000001926323,"Dalia 27, OT, 30212, LA LAGUNA, C/Herradores, 58, e2c52f37f2",zcrm_707987000000599474,"Dalia 27"
zcrm_707987000001926324,"Fund Grube Vista Sur, OT, 30213, SANTIAGO, 38650 Playa de la Américas, Sta. C. de Tenerife, CC Vista Sur, d56dd5df3b",zcrm_707987000000597463,"Fund Grube Vista Sur"
zcrm_707987000001926325,"Fund Grube Costa Teguise, OT, 30213, COSTA TEGUISE, Costa Teguise,C/Las Olas, nº. 5, c59e0fb5a7",zcrm_707987000000597477,"Fund Grube Costa Teguise"
